GENE,ENVISION
HECTD1,0.899240
RFWD3,0.951185
TGM7,0.956087
SLC7A3,0.870163
UGT2A1,0.806466
RBBP6,0.771311
SLC4A4,0.998749
USP9X,0.867317
SLC12A5,0.918238
SHPRH,0.990165
USP32,0.830192
UGP2,0.967694
NAGS,0.917113
B3GNT5,0.936746
XPO6,1.004570
USP45,0.992595
CYP26B1,0.989358
DGKH,0.907215
TTN,0.991222
RNF130,0.861535
ABCB6,0.928982
PIM3,0.846368
HMGCS1,0.842570
KCNJ11,0.977569
PCYT2,0.982243
DPYSL2,0.966491
TICRR,0.945088
PLXNB3,0.783653
PKN2,0.860577
MAN2A1,0.871070
PIGO,1.006700
MAST2,0.919029
TMX3,0.819357
MCAT,0.817328
GALNT5,0.861264
UBR1,0.828188
PDE10A,0.917734
IP6K1,0.896129
ENGASE,0.950573
PIP5K1A,0.766123
EIF2AK4,0.856204
ITPA,0.982799
DGUOK,0.936795
MINPP1,0.813120
PTPRJ,0.973390
