GENE,ENVISION
SLC6A3,0.847972
FLVCR1,0.860735
SLC7A9,0.851982
TSSK1B,0.817289
PGLYRP2,0.833750
SPRYD3,0.861979
ATP11C,0.945562
USP43,0.792709
GAL3ST1,0.936920
CYP3A43,0.918559
SMG1,0.869232
UROC1,0.932786
XPO6,0.860942
WHSC1L1,0.922180
TTN,0.520143
TECRL,0.967955
SLC6A13,0.842062
IL4I1,0.760440
SLCO4A1,0.965413
ICK,0.869455
MAN2C1,0.976072
EXT2,0.983066
PDIA5,0.983228
CAMK2A,0.858109
TUT1,0.973485
USP32,0.958928
TNNI3K,0.904035
NME7,0.793664
ACOX1,0.932895
LPPR4,0.957209
GLYAT,0.978769
PTPRO,0.828876
SPEG,0.854093
