GENE,ENVISION
FMO2,0.777057
SGK223,0.858113
HSPG2,0.762927
KAT2A,0.981359
SMPD3,0.934526
PI4K2A,0.787101
UBE2J2,0.930078
DAK,1.005010
DPEP2,0.912323
TRIM63,0.867009
PANK4,0.842633
XPO7,0.861177
MAP3K5,0.841992
PLA2G7,0.900359
TTN,0.713002
LPCAT1,0.765252
ST3GAL3,0.777131
HUWE1,0.791115
PLCB4,0.862469
B4GALNT2,1.009270
CYP2A13,0.829452
SLC13A1,1.018360
TXN2,1.058460
PTPN21,0.843373
MERTK,0.769387
UBR2,0.956530
SLC27A6,0.760998
GALNT2,0.972516
LRP2,0.976174
PTPRU,0.917730
CHST12,0.946830
HSD11B1L,1.001460
TCIRG1,0.860725
ELOVL2,0.848596
NSD1,0.972128
FUT9,0.843373
