GENE,ENVISION
PTPRN2,0.796554
GAMT,0.732140
HELZ2,0.815458
PTK7,0.856204
UGT3A2,0.957752
PTK2B,0.972646
MED1,0.721932
FAAH2,0.951472
SLC5A8,0.935234
UGT1A7,1.006210
SLC10A2,0.936250
SMG1,0.899245
MASTL,0.994751
MAP3K5,0.857050
CYP26B1,0.968755
TIAM2,0.974054
TTN,0.656422
FMO2,0.757592
DPYSL2,0.870299
UCK1,0.888938
PKN2,0.719785
ACSM2B,0.895446
PLCL1,0.870825
PTPRR,0.968360
SLC26A8,0.994910
ITK,1.014890
LRP2,0.651021
PLD1,1.016970
TPTE2,0.957469
MST1R,0.920597
PFKFB4,0.937515
PDZD4,0.907452
ABCA3,0.969063
KAT6B,0.878624
CPA5,0.953050
NEU2,0.761608
