GENE,ENVISION
MARCH10,0.953730
PTK7,0.743651
AMPD3,0.769817
MKRN1,1.006610
HIPK2,0.754599
PLCE1,0.976432
PLCH1,0.780225
DPEP2,0.977788
SLC36A2,0.775618
CDKL2,0.858831
SLC12A5,0.972776
TRMT1,0.953603
TIAM2,0.785343
PIK3R4,0.854024
PRKCQ,0.866764
TTN,0.693643
PRKG2,0.754185
TNS2,0.933383
TRPM6,0.982968
PNPLA8,0.956200
KMT2A,0.866436
TARS2,0.869929
HECW2,0.856204
LIPG,0.792906
UCK2,0.849532
SUCLG2,0.768586
SLC26A8,0.761508
GALM,0.768586
GALNT6,0.900143
USP34,0.802521
FAM65A,0.715092
PLD3,0.961108
BAAT,0.971986
STK31,0.983217
RHAG,0.767155
GLYAT,0.983796
STK36,0.961087
SLC15A2,0.839706
POLR3B,0.851668
PRKD1,1.000120
