GENE,ENVISION
DAK,0.853267
KMT2B,0.805549
UGT3A1,1.108530
ATP6V1H,0.746665
PRKDC,0.910658
HIPK1,0.766044
SLC5A11,0.833565
PGLYRP4,0.981821
CHIA,0.815688
SHPRH,0.759110
GAD2,0.643381
HS3ST2,0.750475
PLXNB3,0.865004
PPP1R3A,0.919117
TREX2,0.856273
CHIT1,0.711077
CPA6,1.018660
PDE3B,0.769387
SLC6A18,0.838293
DUSP9,0.973666
SLC8A2,0.860622
AASDH,0.897052
MAP3K15,0.985273
HMGCS1,0.869662
PIKFYVE,0.993542
MGAT3,0.793813
SLC27A6,1.002000
SLCO1C1,0.986126
MTMR3,1.007620
EIF2AK3,0.768794
USP51,1.027510
ELOVL3,0.871731
SPEG,0.913457
PSKH2,0.995836
FUT9,0.765266
