GENE,ENVISION
AOC3,0.980125
CAMK1D,0.524192
PLCZ1,0.983544
SLC5A7,0.851289
CHSY3,0.991207
PGLYRP3,0.986951
PLCE1,0.874307
GTF3C4,0.960315
FUK,0.786853
PANK1,0.906048
PANK4,0.749448
SLC9A2,0.838159
SDR16C5,0.941032
RGL1,0.986813
NEK9,0.751708
PLCH1,0.865584
LPCAT2,0.719288
TTN,0.459322
IL4I1,0.978240
TTLL10,0.866269
DUOX2,0.867768
PLCB4,0.762093
TRHDE,0.935097
PIGG,0.823078
SLC13A5,0.779014
WNK4,0.815468
XYLT1,0.946351
FRMPD2,0.812470
USP32,0.813133
MVK,0.859915
MTAP,0.976818
ADCY4,0.665242
GALNT13,0.917647
PTPN13,0.928156
ALDH1L2,0.917658
MYLK,0.821271
ABCC8,0.981034
DHDH,0.745767
