GENE,ENVISION
OCRL,0.880909
DAGLA,0.797015
PRODH2,0.956408
LCLAT1,0.843827
LDHAL6B,0.751451
USP9X,0.963480
PLIN4,0.921896
CYP2U1,0.963630
OGDH,0.936071
NCOA1,0.938923
PPP1R3A,0.930240
UBE3A,0.965468
GALNT1,0.856515
TTN,0.733418
ZSWIM2,0.979426
pk,0.851950
SLCO4A1,0.781063
PTPRN2,0.859985
PLCB1,0.766044
TARS2,0.881236
KMT2E,0.986867
SLC13A4,0.947119
CTSF,0.882071
PDP1,0.753190
HACE1,0.774936
WNK4,0.805681
FRMPD2,0.884777
ST6GALNAC6,0.983982
SLC18A3,0.850570
ROR1,0.759806
LRP2,0.749724
TAOK2,0.857244
CYP8B1,0.732072
PARP14,0.985978
ABCC8,0.880396
GLS2,0.769810
HECW2,0.924547
NSD1,0.769960
SLC17A6,0.936167
ABCC2,0.978512
