GENE,ENVISION
PGAP1,0.778646
RNF14,0.977642
ZCCHC11,0.719288
GPAT2,0.976432
RARS2,0.811508
SMG1,0.757073
CAMK1,0.723982
PIK3R5,0.988543
STK24,0.860577
SRPK3,0.795021
IRAK3,0.808181
SMARCD3,0.746665
CNDP2,0.855075
UBE4A,0.907871
LMTK2,0.924942
PARP10,0.937361
ACE2,0.971917
STK38L,0.922062
MYO3A,0.968630
UGCG,0.965364
MYO3B,0.795488
HACL1,0.973241
B3GAT2,0.973280
PANK1,0.929275
TTN,0.035401
CHST9,1.006610
MOGAT1,0.943665
CSGALNACT2,0.856788
TYRO3,0.772227
RPS6KA1,0.809088
RPS6KA2,0.921724
MTHFD1L,0.768017
HKDC1,0.898302
SLC18A3,0.923615
GFPT1,0.917792
COLGALT2,0.755364
PRKDC,0.824552
SLC4A5,0.929952
MBOAT2,0.860577
POLE,0.775077
POLI,0.859438
NCOA3,0.888701
ASPG,1.062530
NCOA6,0.854838
SLC36A4,0.760149
ART5,0.916825
ART4,0.898015
PLCL2,0.982207
MYLK3,0.751418
FRMPD2,0.808596
ALG10,0.674237
SRPK1,0.919633
SLC27A3,0.828820
ALK,0.712800
AK7,0.659516
ATP6V1E2,0.923824
ABCA4,0.897595
ATP1A4,0.945403
ABCA3,0.853000
CMTR1,0.951601
CCBL2,0.759272
CBLL1,0.931688
ACER1,1.060730
LPIN3,1.023050
PDE1C,0.734243
PDE1B,0.954040
RDH5,0.926506
DPYS,0.425665
AASDH,0.959421
CA13,0.979721
SLC24A3,0.862084
GANC,0.913111
PLA2G4D,1.013710
FUT7,0.911992
FAR2,0.974336
AICDA,0.902635
TGM7,0.912259
NTAN1,0.809700
MAT1A,0.874600
GSTA3,0.901720
CYP4F8,0.974752
USP29,0.757209
USP28,0.767533
USP25,0.936255
USP24,0.875892
SLC25A13,0.814405
USP33,0.923612
B3GNT2,1.009440
B3GNT9,0.972602
ROR2,0.821260
SLC12A5,0.821227
SLC12A7,0.807847
SLC12A1,1.009750
MTMR7,0.869306
EXT1,0.950990
PCYT2,0.956612
SSH2,0.687046
RNF19A,0.941861
PAK7,0.932269
PPA1,0.899713
UGT3A2,0.780488
MED1,0.689015
SLC29A1,0.798640
PINK1,1.036780
SHPRH,0.977607
NEK7,0.851927
NEK5,0.983584
PIGF,0.882010
PLCH1,0.786164
CDC42BPA,0.884773
CDC42BPB,0.800203
PRKG2,0.772969
TNS2,0.978627
TXNRD1,0.946476
SMYD3,0.902720
GALNT2,0.629850
HACD2,0.946506
CYP8B1,0.896296
ATP6V0A4,0.868538
NSD1,0.917654
ILKAP,0.932410
CREBBP,0.522541
PI4KB,0.895387
ATM,0.801154
ADHFE1,0.766044
SMPD3,0.827626
PDE11A,0.987282
AS3MT,0.927667
OXSM,0.917492
CDKL2,0.903469
AMDHD1,0.814095
SDR9C7,0.987211
SH3RF2,0.898932
CLC,0.816503
NUDT11,0.839424
EP300,0.769747
TAOK3,0.820195
CYP24A1,0.721932
ITK,0.976279
FAM65A,0.777057
ACOX2,0.969672
PIP5K1A,0.837084
GDPD2,0.868307
CDK5,0.708870
PTK2,0.509851
PTK7,1.069130
USP3,0.833131
USP7,0.846134
EZH2,0.868111
SLC5A9,0.976432
LOXL2,0.783333
RGL1,0.860732
PHKB,0.976415
RPE,0.809339
ABCB6,0.763863
ST3GAL3,0.921575
