GENEID	SYMBOL
10	NAT2
100	ADA
10000	AKT3
10005	ACOT8
10007	GNPDA1
100137049	PLA2G4B
10020	GNE
10026	PIGK
100287513	USP17L22
100287639	MTHFD2P1
100288072	SDR42E2
10038	PARP2
10039	PARP3
10050	SLC17A4
100526794	NT5C1B-RDH14
100529261	CHURC1-FNTB
10054	UBA2
10055	SAE1
10056	FARSB
10057	ABCC5
10058	ABCB6
10060	ABCC9
10075	HUWE1
10076	PTPRU
10087	COL4A3BP
10090	UST
100996939	PYURF
10105	PPIF
10106	CTDSP2
10110	SGK2
10114	HIPK3
10130	PDIA6
10134	BCAP31
10135	NAMPT
10157	AASS
10162	LPCAT3
10164	CHST4
10165	SLC25A13
10166	SLC25A15
1017	CDK2
10170	DHRS9
10171	RCL1
1018	CDK3
10188	TNK2
1019	CDK4
10193	RNF41
10195	ALG3
1020	CDK5
10201	NME6
10202	DHRS2
1021	CDK6
10210	TOPORS
10217	CTDSPL
1022	CDK7
10226	PLIN3
10229	COQ7
1024	CDK8
10243	GPHN
10246	SLC17A2
10249	GLYAT
1025	CDK9
10257	ABCC4
102724197	LOC102724197
102724560	CBSL
10273	STUB1
10277	UBE4B
10283	CWC27
10290	SPEG
10295	BCKDK
10298	PAK4
10299	MARCH6
10312	TCIRG1
10317	B3GALT5
10327	AKR1A1
1033	CDKN3
10331	B3GNT3
10351	ABCA8
10352	WARS2
1036	CDO1
10380	BPNT1
10390	CEPT1
10396	ATP8A1
1040	CDS1
10400	PEMT
10402	ST3GAL6
10420	TESK2
10423	CDIPT
10434	LYPLA1
10449	ACAA2
10450	PPIE
10455	ECI2
10461	MERTK
10465	PPIH
10476	ATP5PD
10477	UBE2E3
10478	SLC25A17
10494	STK25
10498	CARM1
10499	NCOA2
10514	MYBBP1A
10524	KAT5
10553	HTATIP2
10554	AGPAT1
10555	AGPAT2
10558	SPTLC1
10559	SLC35A1
1056	CEL
10560	SLC19A2
10568	SLC34A2
10585	POMT1
10587	TXNRD2
10588	MTHFS
10595	ERN2
10599	SLCO1B1
10600	USP16
10606	PAICS
10610	ST6GALNAC2
10617	STAMBP
10621	POLR3F
10622	POLR3G
10623	POLR3C
10632	ATP5MG
10645	CAMKK2
10654	PMVK
1066	CES1
10667	FARS2
10678	B3GNT2
10682	EBP
10690	FUT9
107	ADCY1
10714	POLD3
10715	CERS1
10720	UGT2B11
10721	POLQ
10723	SLC12A7
10724	OGA
10728	PTGES3
10733	PLK4
10746	MAP3K2
1075	CTSC
10768	AHCYL1
10769	PLK2
10783	NEK6
10786	SLC17A3
10797	MTHFD2
108	ADCY2
1080	CFTR
10825	NEU3
10826	FAXDC2
10840	ALDH1L1
10841	FTCD
10846	PDE10A
10858	CYP46A1
10861	SLC26A1
10864	SLC22A7
10868	USP20
10869	USP19
10870	HCST
10873	ME3
109	ADCY3
10901	DHRS4
10905	MAN1A2
10908	PNPLA6
10914	PAPOLA
10919	EHMT2
10922	FASTK
10928	RALBP1
10935	PRDX3
10941	UGT2A1
10948	STARD3
10951	CBX1
10954	PDIA5
10965	ACOT2
10975	UQCR11
10991	SLC38A3
10993	SDS
10998	SLC27A5
10999	SLC27A4
11000	SLC27A3
11001	SLC27A2
11010	GLIPR1
11011	TLK2
11019	LIAS
1103	CHAT
11035	RIPK3
11040	PIM2
11041	B4GAT1
11044	TENT4A
11046	SLC35D2
11059	WWP1
11060	WWP2
11065	UBE2C
11072	DUSP14
1109	AKR1C4
11099	PTPN21
111	ADCY5
11101	ATE1
11102	RPP14
1111	CHEK1
11112	HIBADH
11113	CIT
11122	PTPRT
11128	POLR3A
11136	SLC7A9
11143	KAT7
11145	PLA2G16
11156	PTP4A3
1116	CHI3L1
11163	NUDT4
11164	NUDT5
11165	NUDT3
1118	CHIT1
11181	TREH
11182	SLC2A6
11183	MAP4K5
11184	MAP4K1
11185	INMT
1119	CHKA
112	ADCY6
1120	CHKB
11200	CHEK2
11201	POLI
11212	PLPBP
